____,____,____,____,___,__,___,__,____,_____(Y/N),_______,_____(Y/N),________,______,______,_______,_______,____,_____,_____,IVP____,IVD____,____
OSYNS,Estradiol + Medroxyprogesterone,Synseq (28 tablets/box),HM,Symptoms caused by estrogen deficiency in women and treatment for patients who have undergone ovarian removal.,1. Patients with known_ suspected_ or a history of breast cancer. 2. Patients with acute or chronic liver disease or a history of liver disease whose liver function has not returned to normal. 3. Patients with severe heart or kidney disease. 4. Patients with deep vein thrombosis_ thrombotic disorders_ cerebrovascular accidents_ or a history of these conditions associated with previous estrogen use. 5. Patients with arterial thrombosis. 6. Patients with known or suspected estrogen-dependent tumors_ such as endometrial cancer. 7. Patients with unexplained abnormal genital bleeding. 8. Patients who are known or suspected to be pregnant or breastfeeding. 9. Patients allergic to any component of this medication. 10. Severe hypertension.,Heart attack symptoms: chest pain or pressure_ pain spreading to your jaw or shoulder_ nausea_ sweating; signs of a stroke: sudden numbness or weakness (especially on one side of the body)_ sudden severe headache_ slurred speech_ problems with vision or balance; signs of a blood clot: sudden vision loss_ stabbing chest pain_ feeling short of breath_ coughing up blood_ pain or warmth in one or both legs; swelling or tenderness in your stomach; jaundice (yellowing of the skin or eyes); memory problems_ confusion_ unusual behavior; unusual vaginal bleeding_ pelvic pain; a lump in your breast; or high levels of calcium in your blood: nausea_ vomiting_ constipation_ increased thirst or urination_ muscle weakness_ bone pain_ lack of energy. Common side effects may include: nausea_ gas_ stomach pain; headache_ back pain; depression_ weakness; breast pain; itching_ thinning scalp hair; or vaginal itching or discharge_ changes in your menstrual periods_ breakthrough bleeding.,25__________,1 tablet daily.,______,_____________________________,______,____,Contraindicated,,Compatible ______,,AC;AC15;PC;PO;WM;,,,,,[__/____]_________________________________________________________
ONIL2,Betahistine,Nilasen 24mg,CNEU,Vertigo & hearing impairment associated with Meniere's syndrome. Treatment of vestibular vertigo.,Hypersensitivity to any component of the formulation.,Mild gastric complaints. Very rarely_ rash_ pruritus_ urticaria.,25_______,Adult: 24mg BID. It is recommended that the drug be taken with meals.,______,,______,____,Uknown ____,,Unknown ____,,AC;AC15;PC;PO;WM;,,,,,
IKCL2,Potassium Chloride,KCl 20mEq in NaCl 0.9% inj 500mL,NUTR,Hypokalaemia,Hyperkalemia.,Hyperkalemia: Close monitoring of serum potassium concentrations is needed to avoid hyperkalemia; severe hyperkalemia may lead to muscle weakness/paralysis and cardiac conduction abnormalities (eg_ heart block_ ventricular arrhythmias_ asystole).,30_________,Adult: Initial loading dose: 40~60 mEq_ with ECG monitoring then based on serum potassium levels_ Serum K>2.5 mEq/L: concentration < 30 mEq/L_ with speed< 10 mEq/hour (Maximum: 200 mEq/day) Serum K<2 mEq/L with ECG monitoring change or emergency treatment: speed< 2 0mEq/hour (Maximum: 400 mEq/day) Pediatric: maximum 3 mEq/kg or 40 mEq/m2 [Uptodate 20210731] Hypokalemia_ treatment: Serum potassium 2.5 to 3 mEq/L: Initial: 10 to 20 mEq/hr; adjust based on frequent serum potassium monitoring; maximum infusion rate: 20 mEq/hr with continuous ECG monitoring. Serum potassium <2.5 mEq/L (not for emergency treatment of cardiac arrest): Initial: 10 to 40 mEq/hr; adjust based on frequent serum potassium monitoring; maximum infusion rate (central line only): 40 mEq/hr with continuous ECG monitoring; some patients may require up to 400 mEq/24 hrs. [Micromedex 20210731] Serum potassium greater than 2.5 mEq/L: Infuse up to 10 mEq/hr IV in a concentration of up to 40 mEq/L or 200 mEq in a 24-hour period. Serum potassium less than 2 mEq/L and ECG changes with or without muscle paralysis: Infuse up to 40 mEq/hr IV or 400 mEq over 24 hours; give carefully under guidance of continuous ECG monitoring and frequent serum potassium level determination.,______,,______,_______,Uknown ____,,Unknown ____,,IVD;,,,,,1.____________________ 2._ACE______________ 3.______________________________ 4.____________________________
YHYA,Hyaluronic acid,Hyalofemme Lubricant 30gm,MSGO,__________.,_____,,,Use applicator scale 2.5gm gel to apply vagina BIW for vaginal atrophy. No need to stop medication during menstrual cycle.,______,,______,____,,,Contraindicated _______,,VAG;,,,,,
ONIC4,Nicotine,Nicorette ___ 4mg (___),ZADT,_____,,,,(Uptodate) Gum: If strong or frequent cravings are present after 1 piece of gum_ may use a second piece within the hour (do not continuously use one piece after the other). Patients who smoke their first cigarette within 30 minutes of waking should use the 4 mg strength; otherwise the 2 mg strength is recommended. The 12-week dosing schedule (max 24 pieces/day): Weeks 1-6: Chew 1 piece of gum Q1-2H; chew at least 9 pieces/day during the first 6 weeks. Weeks 7-9: Chew 1 piece of gum Q2-4H. Weeks 10-12: Chew 1 piece of gum Q4-8H.,______,,______,____,Compatible – maternal benefit >> embryo-fetal risk,NICOTINE REPLACEMENT THERAPY Central Nervous System (Smoking Deterrent) PREGNANCY RECOMMENDATION: Compatible—Maternal Benefit >> Embryo–Fetal Risk Contraindicated (with any use of tobacco),No (Limited) Human Data - Potential Toxicity _(__)__ - ____,NICOTINE REPLACEMENT THERAPY Central Nervous System (Smoking Deterrent) BREASTFEEDING RECOMMENDATION: Limited Human Data—Potential Toxicity,,,,,,
ONIC2,Nicotine,Nicorette ___ 2mg (___),ZADT,_____,,,,(Uptodate) Gum: If strong or frequent cravings are present after 1 piece of gum_ may use a second piece within the hour (do not continuously use one piece after the other). Patients who smoke their first cigarette within 30 minutes of waking should use the 4 mg strength; otherwise the 2 mg strength is recommended. The 12-week dosing schedule (maximum: 24 pieces/day): Weeks 1-6: Chew 1 piece of gum Q1-2H; chew at least 9 pieces/day during the first 6 weeks. Weeks 7-9: Chew 1 piece of gum Q2-4H. Weeks 10-12: Chew 1 piece of gum Q4-8H.,______,,______,,,,,,,,,,,
ONIQ2,Nicotine,NiQuitin _____ 2mg,ZADT,,,,,,,,,,,,,,,,,,,
ONIQ4,Nicotine,NiQuitin _____4mg (24's/Bot),ZADT,,,,,,,,,,,,,,,,,,,
OJANM,Sitagliptin + Metformin,JanuMET 50/500mg,META,,___: Diabetes mellitus type 2 ___: Diarrhea_ nausea_ vomiting_ flatulence_ abdominal discomfort_ indigestion_ asthenia & headache. Hypoglycemia. Hypersensitivity reactions. Musculoskeletal: Asthenia (greater than 5% ) Neurologic: Headache (greater than 5% ) Respiratory: Nasopharyngitis (greater than 5% ) __: Renal disease or dysfunction_ abnormal CrCl which may result from CV collapse_ acute MI & septicemia. Acute or chronic metabolic acidosis including diabetic ketoacidosis_ with or without coma. Temporarily discontinue treatment in patients undergoing radiologic studies. Type 1 diabetes_ diabetic ketoacidosis.,,__,should not be used in patients with type 1 diabetes or for the treatment of diabetic ketoacidosis Diabetes mellitus type 2: dosage should be individualized based on patient's current regimen_ effectiveness_ and tolerability; MAX sitagliptin 100 mg and metformin 2000 mg per day (given twice a day in divided doses with meals) Diabetes mellitus type 2: (inadequately controlled on metformin monotherapy) initial_ sitagliptin 50 mg plus current dose of metformin ORALLY twice daily Diabetes mellitus type 2: (inadequately controlled on metformin 850 mg twice daily) initial_ sitagliptin 50 mg/metformin 1000 mg ORALLY twice daily Diabetes mellitus type 2: (inadequately controlled on sitagliptin monotherapy) initial_ sitagliptin 50 mg/metformin 500 mg ORALLY twice daily Diabetes mellitus type 2: (switching from sitagliptin co-administered with metformin) initial_ same as current doses of sitagliptin and metformin Diabetes mellitus type 2: when administered with a sulfonylurea or with insulin_ a lower dose of sulfonylurea or insulin may be required,,,,____,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,,,,,,
IAMIF,Amino Acid + Dextrose,Aminofluid 1000mL,NUTR,,___:Provision of electrolytes_ glucose & amino acids in inadequate oral intake before & after surgery. __:Hepatic coma or risk of hepatic coma; severe renal disorder or azotemia; CHF; severe acidosis; abnormal electrolyte metabolism_ hyperpotassemia_ hyperphosphatemia_ hypermagnesemia_ hypercalcemia; reduced urine output; abnormal amino acid metabolism ___: Rash_ chest discomfort_ palpitation_ cerebral_ pulmonary & peripheral edema_ hyperpotassemia_ acidosis_ water intoxication_ vascular pain_ phlebitis_ chills_ fever_ feeling of warmth_ headache.,,__,Adult Usual dose: 500 mL infused via peripheral vein. Max: 2500 mL/day. Infusion rate: 500 mL/120 min_ slowed in elderly & critically ill patients,,,,____,,,Contraindicated _______,,,,,,,1. ________ 2500mL 2. __________________________________ 3._________120_____500mL________________
OIND1,Propranolol,Inderal 10mg,CAVS,Adult HTN_ Angina_ migraine & essential tremor_ Arrhythmias_ anxiety tachycardia_ thyrotoxicosis_ Pheochromocytoma.,History of bronchial asthma or bronchospasm_ bradycardia_ cardiogenic shock_ hypotension_ metabolic acidosis_ after prolonged fasting_ severe peripheral arterial circulatory disturbances_ 2nd or 3rd degree heart block_ sick sinus syndrome_ untreated (with an alpha adrenoceptor antagonist) phaeochromocytoma_ uncontrolled heart failure_ Prinzmetal's angina.,Cold extremities_ GI & sleep disturbances_ fatigue_ lassitude. Deterioration in heart failure_ mood changes. Isolated cases of paresthesia. Rarely bradycardia_ dizziness_ postural hypotension which may be associated with syncope_ heart block_ alopecia_ thrombocytopenia_ purpura_ psoriasiform skin reactions_ exacerbation of psoriasis_ visual disturbances_ CNS symptoms including hallucinations & psychoses; hypoglycaemia in children. Rashes & dry eyes (discontinue drug). Intermittent claudication_ Raynaud's phenomenon_ bronchospasm_ increased antinuclear antibodies. Dermatologic: Dermatitis_ Pruritus_ Urticaria Neurologic: Dizziness (4% to 7% ) Other: Fatigue (5% to 7% ),__________15-30_____,Adult: Angina: Initially 10-20 mg TID-QID_ may titrate every 3 to 7 days gradually to 320 mg/day. Arrhythmia: 10-30mg TID-QID. Migraine prophylaxis: Initially 20mg QID; then up to 160-240 mg/day in divided doses. Hypertension: 120-240 mg/day_ may increase to 640mg based on response and tolerability. Thyrotoxicosis: 10-40mg TID-QID. Pheochromocytoma: 20mg TID for 3 days prior to surgery_ with alpha-adrenergic blocker. (Do not start propranolol before the effect of the alpha-blocker is established) Child: Limited data available. Supraventricular tachycardia: 0.5 to 1 mg/kg/day in 3-4 divided doses.,______,,______,_______,Human data suggest risk in 2nd and 3 rd trimesters,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,1) American Academy of Pediatrics Rating: Maternal medication usually compatible with breastfeeding. 2) World Health Organization Rating: Compatible with breastfeeding. 3) Micromedex Lactation Rating: Infant risk is minimal. 4) Clinical Management a) Propranolol is excreted in human milk and the manufacturer advises caution if propranolol is administered to a nursing woman. However_ propranolol is considered compatible with breastfeeding by the American Academy of Pediatrics and the World Health Organization (WHO) [888][889]. Although propranolol appears in breast milk_ the concentration is too low to be pharmacologically significant to the infant. WHO recommends monitoring the infant for bradycardia_ hypoglycemia_ and cyanosis,AC;AC15;PC;PO;WM;,,,,,
OISO2,Verapamil,Isoptin SR 240mg,CAVS,Hypertension.,Cardiogenic shock. Second- or third-degree atrioventricular (AV) block (except in patients with a functioning artificial pacemaker). Sick sinus syndrome (except in patients with a functioning artificial pacemaker). Heart failure (e.g._ left ventricular ejection fraction below 35% and/or pulmonary capillary wedge pressure above 20 mmHg)_ except for secondary supraventricular tachycardia induced by verapamil treatment. Atrial flutter or atrial fibrillation with an accessory AV pathway (e.g._ Wolff-Parkinson-White syndrome or Lown-Ganong-Levine syndrome). In such patients_ verapamil hydrochloride may increase the risk of ventricular tachycardia_ including ventricular fibrillation. Severe left ventricular dysfunction. Hypotension (systolic blood pressure < 90 mmHg). Concomitant use with ivabradine.,Bradycardiac arrhythmias eg. sinus bradycardia_ asystole_ 2nd/3rd degree AV blockade_ hypotension_ heart failure. Constipation. Rarely nausea_ vomiting_ dizziness_ headache_ flushing_ fatigue_ nervousness_ ankle edema_ inflammation of extremities_ paresthesia_ myalgia_ rheumatism. Cardiovascular: Edema (up to 3.7% )_ Hypotension (1.5% to 3% ) Gastrointestinal: Constipation (7.3% to 13% ) Neurologic: Dizziness (3% to 5.9% )_ Headache (2.2% to 12.1% ) Respiratory: Pharyngitis (3% )_ Sinusitis (3% ) Other: Influenza-like symptoms (3.7% ),25_____,HTN: 120-240mg/day with food in the morning.,_____,____________ Use 30% of dose given to patients with normal hepatic function,_____,_______,Compatible,The use of verapamil in any stage of pregnancy appears to be low risk. The drug was not teratogenic in two animal species_ but did cause death and growth restriction in one species.,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,PC;PO;WM;,,,,,[__/____]___________________________
OKIN,Sertraline,Kinloft 50mg,CNEU,,___: Depression_ obsessive-compulsive disorder (OCD)_ panic disorder. ___: Nausea_ diarrhoea_ dyspepsia_ tremor_ dizziness_ insomnia_ drowsiness_ increased sweating_ dry mouth_ delay in ejaculation (males).,,__,50 mg daily. Dosage may be increased in 50 mg increments to max 200 mg over a period of 2-4 wks.,,,,_______,,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,,,,,,
OMEX,Mexiletine,Mexitil 100mg,CAVS,,___: Ventricular arrhythmia. ___: Indigestion; hiccups; unpleasant taste_ nausea_ vomiting; joint pains; drowsiness_ dizziness; confusion; disarticulated speech; blurred vision; nystagmus; tremor; paresthesia_ ataxia; convulsions; hypotension_ sinus bradycardia_ atrial fibrillation_ palpitations. Gastrointestinal: Heartburn_ Nausea_ Vomiting Neurologic: Coordination problem (approximately 10% )_ Dizziness_ Lightheadedness_ Tremor (13.2% ) Ophthalmic: Blurred vision_ Visual disturbance Psychiatric: Feeling nervous (5% to 11.3% ),,__,Initially_ 400 mg. Maintenance_ should be given 2-6 hr after initial dose: 400-800 mg in divided doses; max: 1200 mg daily in divided doses.,,,,_______,,,No (Limited) Human Data - Probably Compatible _(__)__ - ___,,,,,,,
OMGO,Magnesium Oxide,MgO 250mg,ALIM,,___: Treatment of various GI problems associated with hyperacidity; as a laxative. ___: Diarrhea_ abdominal cramps_ nausea_ hypermagnesemia_ renal stones,,__,Antacids 250-1500 mg with water or milk_ qid. Laxative 2-4 g with water or milk hs. Magnesium supplement 500-1200 mg/day.,,,,____,,,Compatible ______,,,,,,,
OMIDO,Midodrine,Midorine 2.5mg,CAVS,Constitutional hypotension_ orthostatic circulatory dysfunction_ hypotension after illness_ surgery_ and postpartum.,Hypertension_ pheochromocytoma_ acute nephritis_ severe renal insufficiency_ glaucoma_ benign prostatic hyperplasia with urinary retention_ mechanical urinary obstruction_ severe organic heart disease_ hyperthyroidism.,Supine hypertension (discontinue)_ paresthesia_ pruritus_ goosebumps_ chills_ dysuria.,25_____,Hypotensive states Adult & children > 12 years: Initially 1 tab BID-TID Urinary incontinence Adult 1-2 tablet BID to TID,______,,______,_______,No (limited) human data – animal data suggest moderate risk,,No (Limited) Human Data - Potential Toxicity _(__)__ - ____,,AC;AC15;PC;PO;WM;,,,,,
OREN5,Enalapril,Renitec 5mg,CAVS,,I: All grades of essential hypertension_ renovascular hypertension_ congestive heart failure. CI: History of angioneurotic edema related to previous treatment with an ACE inhibitor.,,,Initial: Patients without diuretic therapy: 5 mg qd. Patients with diuretic therapy: An initial dose of 2.5 mg should be used to determine the magnitude of hypotensive effect. Maintenance: 10-40 mg/day in 1-2 divided doses.(max. 40 mg/day).,,,,_______,,,,,,,,,,
