藥品代碼,藥品學名,藥品名稱,藥品分類,適應症,禁忌,副作用,儲存,用法用量,肝功能異常(Y/N),肝功能異常說明,腎功能異常(Y/N),懷孕用藥危險分級,孕期用藥建議,孕期附帶說明,哺乳期用藥建議,哺乳期附帶說明,給藥途徑,乾粉稀釋液,輸注點滴液,IVP用法建議,IVD用法建議,注意事項
OLAS,Furosemide,Lasix 40mg,CAVS,Cardiac， renal & hepatic edema; edema due to burns; mild to moderate hypertension,Acute renal failure with anuria， hepatic coma， hypokalemia， hyponatremia， hypovolemia with or without hypotension. Impaired renal or hepatic function.,Minor GI upset; Ca， K & Na depletion， nephrocalcinosis in premature infants; aggravation of metabolic alkalosis; diabetes. Rarely， anaphylactic shock， allergic reactions， bone marrow depression; acute pancreatitis， auditory disorders. Endocrine metabolic: Hyperuricemia (40%)， Hypomagnesemia Gastrointestinal: Loss of appetite Renal: Spasm of bladder,避光,Cardiac， renal and hepatic edema; edema due to burns; mild to moderate hypertension: Adult: Initially 20-80 mg daily; maintenance 20-40 mg daily. Children: 2 mg/kg daily. Maximum: 40 mg daily. [Micromidex 2021/07/20] Maximum adult daily oral dose: 600mg/day.,無需調整劑量,[仿單] Furosemide 會移行進入乳汁中，並抑制乳汁分泌，因此，不可於餵哺母乳期間使用 Lasix。,無需調整劑量,除非治療上需要,Human data suggest low risk,[仿單] Furosemide 會通過胎盤障壁，因此，除非有強制性的醫學理由， 否則不可於懷孕期間使用 Lasix。 若於懷孕期間使用Lasix，則須監測胎兒的發育情形。,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,[仿單] Furosemide 會移行進入乳汁中，並抑制乳汁分泌，因此，不可於餵哺母乳期間使用 Lasix。,AC;AC15;PO;,,,,,
OMEL5,Minocycline,Melicin 50mg,QANB,,適應症: Respiratory tract， GUT， soft tissue， ENT， ophthalmologic infection， periodontitis. 副作用: GI disorders. Maculopapular & erythematous rashes， photosensitivity， tooth discoloration， hypersensitivity reactions. Neurologic: Dizziness (9% )， Vertigo 禁忌: Hypersensitivity to tetracyclines. Last half of pregnancy， infants， children ? 8 years.,,室溫,Acne vulgaris 100 mg daily as a single dose or in divided dose. Non gonococcal urethritis 200 mg daily as a single or in divided dose for 10-14 days. Gonorrhea Adult male 200 mg initially followed by 100 mg 12 hrly for min of 4 days. Adult female Same dosage as male for 10-14 days. Systemic infection 100 mg 12 hrly. Prophylaxis of asymptomatic meningococcal carriers 100 mg bid for 5 days. Children >8 years 50 mg 12 hrly.,,,,盡量避免,,,Compatible 哺乳時可使用,,,,,,,
OMIR,Mirtazapine,pms-Mirtazapine 30mg,CNEU,,適應症: Depression. 副作用: Increase in appetite and wt， oedema; drowsiness or sedation; dizziness， headache， increased liver enzyme levels; jaundice. Orthostatic hypotension， rash， nightmares， agitation， mania， hallucinations， paraesthesia， convulsions， tremor， myoclonus， akathisia， restless legs syndrome， arthralgia， myalgia， reversible agranulocytosis， leucopenia， granulocytopenia， hyponatraemia. Endocrine metabolic: Increased appetite (17% )， Serum triglycerides raised (increases to 500 mg/dL or greater: 6% )， Weight gain (body weight increase of 7% or greater: adults 7.5%; pediatrics 49% ) Gastrointestinal: Constipation (13% )， Xerostomia (25% ) Hepatic: ALT/SGPT level raised (2% ) Neurologic: Asthenia (8% )， Dizziness (7% )， Somnolence (54% ) Psychiatric: Disturbance in thinking (3% ),,室溫,PO Initial: 15 mg/day; may increase gradually based on response. Usual range: 15-45 mg/day as 1-2 divided doses.,,,,除非治療上需要,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,,,,,,
OBOK,Acetylsalicylic Acid,Bokey 100mg,HEMT,Reducing the risk of mortality in patients with a suspected acute MI or a history of MI; secondary prevention of stroke; reducing the risk of transient ischaemic attacks (TIA) & stroke in patients with TIA; reducing the risk of morbidity & death in patients with stable & unstable angina pectoris; prevention of thromboembolism after vascular surgery or interventions; prophylaxis of deep vein thrombosis & lung embolism after longer-term immobilisation; reducing the risk of first MI in patients with CV risk factors.,Active peptic ulcers; haemorrhagic diathesis; a history of asthma induced by acetylsalicylic acid or other NSAIDs; combination with methotrexate at doses of ? 15 mg/week; last trimester of pregnancy.,Hypersensitivity reactions; GI disturbances; GI bleeding， ulceration or perforation; bleeding; dizziness & tinnitus.,25℃以下,Take 100-200 mg every day or 300 mg every other day: Reduce the mortality of patients who may have acute myocardial infarction， Prevent deep vein thrombosis and pulmonary embolism caused by long-term immobility， Reduce the risk of first myocardial infarction in patients with cardiovascular risk factors， such as diabetes， hyperlipidemia， hypertension， obesity， smoking， and the elderly. Take 100-300 mg every day: Reduce the recurrence rate and mortality of patients with myocardial infarction， Prevent secondary-stroke， Reduce the recurrence of transient ischemic attack and stroke in patients with transient ischemic attack， Reduce the incidence and mortality of patients with stable and unstable angina， Prevent thromboembolism caused by vascular surgery or invasive treatment， such as percutaneous coronary angioplasty， coronary artery separation， flow transplantation， carotid endarterectomy， arteriovenous catheter.,需調整劑量,,需調整劑量,除非治療上需要,Compatible,1.Compatible (Low Dose) 40~150mg/day 2.PREGNANCY RECOMMENDATION: Human Data Suggest Risk in 1st and 3rd Trimesters (Full Dose),No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,PO;,,,,,[磨粉/管灌註記]本藥為腸溶膠囊，可拆膠囊後服用。但不可將膠囊內的腸溶微粒研磨或壓碎。
OBON,Meclizine,Bonamine 25mg,CNEU,,Management of nausea， vomiting， and dizziness associated with motion sickness.,,,Antivertigo: 25-100 mg/day. Motion sickness: 25-50mg 1 hr before travel.,,,,可能安全,,,,,,,,,,
OBONE,Clodronate,Bonefos 400mg,META,Treatment of osteolysis due to malignancy and malignant hypercalcemia.,Coadministration with other bisphosphonates.,Mild GI irritation， asymptomatic hypocalcemia， elevations of aminotransferases. Rarely， respiratory disorders， renal impairment.,15-25℃,1600 mg daily， maximum 3200mg daily.,無需調整劑量,,需調整劑量,除非治療上需要,Uknown 沒有資料,,Unknown 沒有資料,,AC;AC15;PO;,,,,,
OBUS,Hyoscin-Butylbromide,Buscopan 10mg,ALIM,,Gastric and duodenal ulcer， intestinal colic， cholelithic colic， spasmodic dysmenorrhea， visceral spasms.,,,Oral: 10-20 mg tid-qid. IM， IV， SC: 10-20 mg qd， repeated as needed.,,,,除非治療上需要,,,,,,,,,,
OCACO3,Calcium Carbonate,Ca. Carbonate 500mg,NUTR,,適應症: Relief of the symptoms of gastric hyperacidity. 副作用: Mild GI disturbances. 禁忌: Hypercalcaemia due to myeloma， bone metastases or other malignant bone disease， sarcoidosis; primary hyperparathyroidism， vitamin D overdosage; severe renal failure.,,室溫,1-2 tab before meals & at bedtime. Max: 8 tab/day.,,Calcium is excreted in breast milk. The amount of calcium in breast milk is homeostatically regulated and not altered by maternal calcium intake. Calcium requirements are the same in lactating and nonlactating females (IOM 2011). Calcium-based antacids are probably compatible with breast-feeding.,,沒有資料,,,Compatible 哺乳時可使用,Calcium is excreted in breast milk. The amount of calcium in breast milk is homeostatically regulated and not altered by maternal calcium intake. Calcium requirements are the same in lactating and nonlactating females (IOM 2011). Calcium-based antacids are probably compatible with breast-feeding.,,,,,,
OCAP,Calcium Acetate,Caphos 667mg,NUTR,,適應症: Control of hyperphosphatemia in end stage renal failure and does not promote aluminum absorption. 副作用: Hypercalemia， nausea， constipation， allergy reaction 禁忌: Hypercalemia,,室溫,Initial dose for the adult dialysis pt's is 2 tablets with each meal. The dosage may be increased gradually to bring serum phosphate value below 6 mg/ml， as long as hypercalcemia does not develop. Most pt's require 3-4 tablets with each meal.,,,,除非治療上需要,,,Compatible 哺乳時可使用,,,,,,,
OROX,Roxatidine Acetate,Roxane 75mg,ALIM,,Duodenal ulcers， benign gastric ulcers. Prophylasix of recurrent gastric & duodenal ulcers.,,,Adult 1 cap in the morning and at night or 2 cap at night.,,,,,,,,,,,,,,
ORYT,Propafenone,Rytmonorm 150mg,CAVS,,適應症: Ventricular & supraventricular tachyarrhythmias， Wolff-Parkinson-White syndrome. 副作用: May induce arrhythmia eg. bradycardia， induction disorder， tachycardia. Rarely ventricular fibrillation. May increase severity of heart failure. Hypotension. GI disturbances. Paresthesia， visual disturbances， dizziness. Rarely fatigue， headache， psychotic disorders. Blood disorders. Rarely， skin allergy， bronchospasm. Cardiovascular: Chest pain (1.8% )， Edema (5% to 13% )， Palpitations (3.4% ) Gastrointestinal: Constipation (8% to 14% )， Nausea (9% to 17% )， Taste sense altered (6% to 22% )， Vomiting (0% to 6% ) Neurologic: Dizziness (21% to 23% ) Psychiatric: Anxiety (10% to 13% ) Respiratory: Dyspnea (13% to 17% )， Upper respiratory infection (8% to 12% ) Other: Fatigue (11% to 13% ) 禁忌: Manifest heart failure; cardiogenic shock (except for shock induced by arrhythmia); severe bradycardia within 3 months after MI; pre-existing high degree SA， AV & intraventricular disorders of impulse conduction; sick sinus syndrome; manifest disorders of electrolyte balance; severe obstructive pulmonary disease; marked hypotension， myasthenia gravis.,,室溫,Adult 70 kg Initial & maintenance dose: 450-600 mg daily. May be increased to 900 mg daily.,需調整劑量,,無需調整劑量,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
OMUB,Ambroxol,Mubroxol 30mg,ERSP,,適應症: Expectorant. 副作用: Mild GI effects， allergic reactions.,,室溫,Adult & children > 10 years 1 tab tid. (Adult Dosage:most studies have used of 60 to 180 milligrams/day in 2 or 3 divided doses) Children 5-10 years 1/2 tab tid. In long-term therapy the dose may be reduced to bid.,,,,沒有資料,,,Contraindicated 哺乳期使用禁忌,,,,,,,
OCAT4,Otilonium,Catilon 40mg,ALIM,Relief of abdominal pain due to irritable bowel syndrome.,Glaucoma,Mild nausea， vomiting， upper abdominal pain， dizziness & headache.,25℃以下,Oral， 40 mg BID-TID. Adult: Up to 120 mg daily.,無需調整劑量,,無需調整劑量,沒有資料,Uknown 沒有資料,,Unknown 沒有資料,,,,,,,
OJAN,Sitagliptin,Januvia 100mg,META,,適應症: Type 2 DM. 副作用: Upper respiratory tract infection， nasopharyngitis & headache. Hypoglycemia. Endocrine metabolic: Hypoglycemia (0.6% to 12.2% ) Neurologic: Headache (1.1% to 5.9% ) Respiratory: Nasopharyngitis (5.2% to 6.3% )， Upper respiratory infection (4.5% to 6.3% ) 禁忌: Type 1 DM， diabetic ketoacidosis.,,室溫,usually dose :100 mg once daily with or without food Dosage in renal impairment: CrCl < 50 ml/min 50mg qd CrCl < 30 ml/min 25mg qd,無需調整劑量,,需調整劑量,可能安全,,,No (Limited) Human Data - Potential Toxicity 無(很少)資料 - 避免使用,,,,,,,
OVAL,Valaciclovir,Valtrex 500mg,QANB,Treatment of herpes zoster & herpes labialis. Treatment & prevention of recurrent herpes simplex infections of the skin & mucous membranes including initial & recurrent genital herpes. Prophylaxis of cytomegalovirus (CMV) infection & disease， following renal transplantation.,Hypersensitivity to valacyclovir or acyclovir.,Headache， rash， GI disturbances. Uncommonly， reversible neurological reactions such as dizziness， confusion， hallucinations， decreased consciousness (rare) in patients with renal impairment or on high dose therapy. Rarely， renal insufficiency， microangiopathic hemolytic anemia & thrombocytopenia in severely immunocompromised patients with high doses & prolonged periods but these have also been observed in patients not on valacyclovir having the same underlying conditions.,30℃以下,(仿單) Adult: Herpes zoster (shingles): 1000 mg orally 3 times daily for 7 days. Herpes simplex virus infection: 500 mg orally 2 times daily for 5-10 days. Herpes simplex virus， prevention: 500 mg/day divided Q12-24H; 500 mg twice daily for immunocompromised patients. (熱病) Pediatric: Oral herpes (> or = 12 years) 2 g twice daily for 1 day. Varicella zoster virus (Chickenpox) (2-18 years): 60 mg/kg/day， divided Q8H for 5 days,無需調整劑量,Breastfeeding 1) Thomson Lactation Rating: Infant risk is minimal.,需調整劑量,可能安全,Uknown 沒有資料,,Unknown 沒有資料,Breastfeeding 1) Thomson Lactation Rating: Infant risk is minimal.,AC;AC15;PC;PO;WM;,,,,,
OLEUK,Chlorambucil,Leukeran 2mg,RACA,Management of chronic lymphocytic leukemia (CLL)， Hodgkin lymphoma (HL) and non-Hodgkin lymphomas (NHL).,Hypersensitivity to chlorambucil or any component of the formulation; hypersensitivity to other alkylating agents (may have cross-hypersensitivity); prior (demonstrated) resistance to chlorambucil. Canadian labeling: Additional contraindications (not in US labeling): Use within 4 weeks of a full course of radiation or chemotherapy.,Bone marrow suppression; GI disturbances. Occasionally: severe interstitial pulmonary fibrosis; hepatotoxicity & jaundice. Fever， skin hypersensitivity， peripheral neuropathy， interstitial pneumonia & sterile cystitis. Seizures.,2-8°C,Take daily on an empty stomach (at least 1 hour before meals or 3 hours after meals). May be used in the management of Hodgkin's disease and non- Hodgkin's lymphomas in children. The dosage regimens are similar to those used in adults.  [Hodgkin's disease] 0.2 mg/kg/day for 4-8 weeks as a single agent in the palliative treatment of advanced disease[Non-Hodgkin's lymphoma] 0.1-0.2 mg/kg/day as a single agent for 4-8 weeks initially; maintenance therapy is then given either by a reduced daily dosage or intermittent courses of treatment.  [Chronic lymphocytic leukaemia] 0.15 mg/kg/day initially until the total leukocyte count has fallen to 10，000/mL. Treatment may be resumed 4 weeks after the end of the first course and continued at a dosage of 0.1 mg/kg/day. [Waldenstrom's macroglobulinaema] Starting doses of 6-12 mg daily until leucopenia occurs are recommended followed by 2-8 mg daily indefinitely.,需調整劑量,,需調整劑量,盡量避免,Contraindicated – 1st trimester,,Contraindicated 哺乳期使用禁忌,,AC;PO;,,,,,[磨粉/管灌註記]本藥為癌症用藥，不宜破壞原劑型。若有磨粉需求請使用前自行磨粉，並注意相關風險。
OPROGY,Estradiol Valerate + Norgestrel,Progyluton 21's/box,HM,,適應症:月經停止後的更年期症候群 Pre- & postmenopausal symptoms， primary & secondary amenorrhea; menstrual irregularities; deficiency symptoms after oophorectomy or radiological castration for non-carcinomatous diseases 副作用:Rarely， breast tension， gastric upsets， nausea， headache， influence on body weight & libido， unscheduled bleeding. 禁忌:Pregnancy; severe liver dysfunction; jaundice or severe pruritus during a previous pregnancy; previous or existing liver tumours; existing or suspected hormone-dependent tumours of uterus or mammae. Severe diabetes with vascular changes， previous or existing thromboembolic processes; endometriosis; disturbances of lipometabolism， a history of herpes gestationis， otosclerosis with deterioration during previous pregnancies， Dubin-Johnson syndrome， Rotor syndrome， sickle-cell anemia,,室溫,1 tab daily for 21 days beginning on the 5th day of the cycle， pause for 7 days,,,,不可使用,,,Compatible 哺乳時可使用,,,,,,,
IDOR3,Midazolam,Dormicum inj 15mg/3mL,ZANE,,,,,,,,,,,,,,,,,,,
EPRO3,Tacrolimus,Protopic 0.03% oint 5gm,TDER,,適應症: Short-term & intermittent long-term therapy in the treatment of patients with moderate to severe atopic dermatitis. 副作用: Burning sensation， pruritus， flu-like symptoms & headache. Dermatologic: Alopecia (systemic formulations: up to 28.9% topical: 1% )， Persistent erythema of skin (topical: 7% to 28% )， Persistent erythema of skin (20% to 58% )， Pruritus (systemic formulations: 15% to 36% ; topical: 19% to 46% ) Gastrointestinal: Constipation (systemic formulations: 23% to 35% ; topical: between 0.2% and 1% )， Diarrhea (systemic formulations: 37% to 72% ; topical: 3% to 5% )， Nausea (systemic formulations: 32% to 46% ; topical: 1% to 3% )， Vomiting (systemic formulations: 14% to 29% ; topical: 1% to 6% ) Hematologic: Anemia (systemic formulations: 5% to 65.4% ; topical: between 0.2% and less than 1% )， Leukocytosis (8% to 32% )， Thrombocytopenia (14% to 24% ) Neurologic: Headache (systemic formulations: 37% to 64% ; topical: 5% to 20% )， Insomnia (systemic formulations: 32% to 64% ; topical: 1% to 4% )， Paresthesia (systemic formulations: 17% to 40% ; topical: 2% to 3% )， Tremor (15% to 56% ) 禁忌: Patients with a history of hypersensitivity to tacrolimus or any other component of Protopic.,,15 ~ 30 °C,Adult & children 2-15 years Apply thinly & rub in bid， continue for 1 week after signs & symptoms clear.,,,,除非治療上需要,,,No (Limited) Human Data - Probably Compatible 無(很少)資料 - 可使用,,,,,,,
